income,loan_amount,credit_score,credit_utilization,delinquencies,repayment_score,employment_years,dti,ltv,employment_type,loan_purpose,defaulted
68655.64,2243.19,580,0.3369,0,67.0,7.6,0.0432,0.05,Full-time,Home Improvement,0
122860.12,3093.01,696,0.1241,0,95.1,5.6,0.0133,0.05,Full-time,Debt Consolidation,0
89256.63,14346.62,759,0.4091,0,,,0.0716,0.05,Full-time,Major Purchase,0
38036.31,5149.61,668,0.4872,0,78.1,8.6,0.1247,0.05,Full-time,Debt Consolidation,0
32173.43,6883.93,554,0.3094,1,69.9,2.1,0.1579,0.0806,,Business,1
54019.12,4460.13,711,0.5042,2,81.7,4.5,0.1315,0.05,Full-time,Debt Consolidation,0
25671.99,19122.57,580,0.2952,0,46.9,6.5,0.2616,0.2051,Full-time,Debt Consolidation,1
24588.48,11636.53,619,0.1294,0,95.1,4.4,0.1515,0.215,,Debt Consolidation,1
39776.63,6948.82,618,0.0371,0,23.9,12.8,0.0486,0.1065,Full-time,Debt Consolidation,0
48038.03,38430.43,716,0.2053,0,82.5,5.3,0.2228,0.2199,Full-time,Debt Consolidation,0
29931.84,16878.39,605,0.3626,0,60.2,8.8,0.2225,0.1724,Part-time,Major Purchase,0
22519.44,14797.03,580,0.0759,0,54.2,1.8,0.182,0.3393,Full-time,Debt Consolidation,0
49708.19,34416.75,456,0.4441,1,19.7,5.9,0.2546,0.2389,Full-time,Debt Consolidation,1
64814.71,51851.77,661,0.1857,0,73.6,8.2,0.2126,0.2445,Full-time,Home Improvement,0
126133.05,5356.92,691,0.6056,0,98.6,5.6,0.0448,0.05,Full-time,Debt Consolidation,0
37673.31,21153.52,770,0.2702,0,97.8,7.5,0.1864,0.2093,Part-time,Home Improvement,0
52262.3,41809.84,641,0.2956,1,93.2,2.8,0.2557,0.2168,Full-time,Debt Consolidation,0
71050.31,8633.41,688,0.1765,0,91.8,6.6,0.047,0.0596,Part-time,Home Improvement,0
30691.09,7769.97,681,0.255,1,82.6,7.0,0.1597,0.1081,Full-time,Home Improvement,0
91347.78,14295.0,624,0.1602,0,62.3,14.0,0.0502,0.05,Self-employed,Home Improvement,0
70839.51,7402.31,660,0.5016,1,66.6,2.4,0.093,0.05,Full-time,Home Improvement,0
46011.09,19416.95,726,0.437,0,60.2,0.8,0.1697,0.2249,Part-time,Home Improvement,0
65785.45,7350.21,719,0.6888,0,90.2,2.4,0.1022,0.05,Full-time,Education,0
86083.11,5086.27,712,0.4657,0,100.0,6.9,0.0531,0.05,Full-time,Home Improvement,0
59906.92,46532.25,730,0.2423,1,75.3,5.5,0.2356,0.261,Full-time,Debt Consolidation,0
104647.84,12841.6,650,0.1791,0,95.3,1.1,0.0418,0.05,Full-time,Debt Consolidation,0
184217.86,9914.78,635,0.2675,1,86.8,4.8,0.0299,0.05,Full-time,Debt Consolidation,0
69525.43,18840.63,582,0.3034,0,33.6,10.1,0.0965,0.1299,Full-time,Debt Consolidation,0
51106.43,35000.4,606,0.0555,1,,,0.1957,0.1848,Full-time,Home Improvement,0
28804.42,9520.22,486,0.1119,0,48.2,5.9,0.1073,0.1138,Self-employed,Education,1
110230.71,7297.98,694,0.0706,0,86.7,11.1,0.0205,0.05,Full-time,Education,0
56857.96,4289.77,640,0.1852,1,77.2,12.0,0.0627,0.05,Full-time,Debt Consolidation,0
38045.78,15070.54,622,0.3026,0,77.6,3.5,0.1523,0.1196,Full-time,Education,0
51003.24,36491.81,645,0.1282,0,58.6,10.6,0.1898,0.2321,Part-time,Home Improvement,0
29416.01,5432.54,715,0.2333,1,52.9,5.6,0.1422,0.1021,Full-time,Major Purchase,1
48420.45,24093.98,702,0.0664,1,61.8,2.1,0.1541,0.1281,Full-time,Major Purchase,0
64859.22,17919.72,670,0.4121,2,49.6,6.4,0.1491,0.0998,Full-time,Business,1
94966.72,29279.24,578,0.1214,0,55.5,15.7,0.0832,0.0855,Full-time,Debt Consolidation,0
19054.71,2175.82,636,0.402,0,72.2,10.2,0.1793,0.05,Full-time,Debt Consolidation,0
51127.47,29833.03,781,0.3026,0,97.3,7.3,0.1827,0.2218,Self-employed,Debt Consolidation,0
35364.02,13732.54,597,0.2403,0,87.5,3.2,0.1421,0.1141,Self-employed,Major Purchase,0
39947.88,17511.01,542,0.1212,1,65.2,4.8,0.1571,0.1313,Full-time,Debt Consolidation,0
47687.11,21846.73,554,0.4183,0,39.0,9.6,0.1731,0.11,Full-time,Home Improvement,0
37450.07,2944.89,739,0.0849,0,78.4,4.2,0.0352,0.05,Full-time,Home Improvement,0
40703.61,7331.37,623,0.0537,3,40.7,13.0,0.1412,0.0842,Part-time,Debt Consolidation,1
30200.34,24160.27,689,0.5364,0,88.0,4.5,0.3199,0.3393,Part-time,Business,0
17000.08,13600.07,850,0.1892,0,87.9,6.8,0.2721,0.4011,Full-time,Home Improvement,0
48975.15,24729.93,756,0.2982,2,88.0,5.4,0.214,0.1894,Full-time,Home Improvement,0
40290.84,2875.82,747,0.3041,2,92.2,2.8,0.131,0.05,Full-time,Business,0
146743.51,19867.83,662,0.1639,1,63.9,2.6,0.0487,0.05,Full-time,Debt Consolidation,0
22436.34,9040.3,590,0.3066,0,58.2,2.7,0.1951,0.1409,Full-time,Home Improvement,0
40908.29,3192.89,722,0.0674,0,81.7,7.5,0.0306,0.05,Full-time,Debt Consolidation,0
31173.34,11878.92,631,0.2971,0,67.3,3.4,0.1601,0.1073,Full-time,Education,0
26063.6,4262.76,514,0.1191,0,36.9,7.3,0.0721,0.0571,Part-time,Debt Consolidation,0
26241.81,10036.54,554,0.4015,0,45.7,8.3,0.2019,0.1579,Full-time,Education,1
31895.56,25516.45,715,0.1241,1,80.7,2.9,0.2576,0.2844,Full-time,Debt Consolidation,0
62172.72,49738.18,570,0.1391,0,71.1,9.4,0.2081,0.3399,Full-time,Business,0
29230.58,12975.28,663,0.125,1,49.5,4.1,0.1784,0.1209,Full-time,Business,0
38218.99,13235.63,650,0.2525,2,50.9,3.7,0.1935,0.1122,Self-employed,Debt Consolidation,1
68134.04,44233.38,535,0.3263,0,77.4,7.5,0.1903,0.3113,Full-time,Home Improvement,0
41440.84,33152.68,728,0.1355,0,60.2,8.6,0.2155,0.2557,Full-time,Debt Consolidation,0
70223.19,7285.31,684,0.2628,0,100.0,3.9,0.0518,0.066,Full-time,Major Purchase,0
86007.66,19338.03,618,0.3888,0,78.5,4.6,0.0865,0.097,,Debt Consolidation,0
88020.69,8492.61,644,0.6107,0,71.8,2.3,0.0731,0.05,Part-time,Debt Consolidation,0
17651.56,3189.29,675,0.2434,0,98.7,6.4,0.1426,0.0644,Full-time,Business,0
90394.92,9320.18,618,0.07,3,68.8,6.1,0.0701,0.05,Part-time,Debt Consolidation,0
37095.64,29676.51,668,0.4222,0,77.2,4.1,0.2739,0.4198,Full-time,Major Purchase,0
43143.48,2936.49,678,0.3211,0,62.1,5.3,0.0699,0.05,Full-time,Education,0
32609.72,9805.84,617,0.1811,1,63.0,5.3,0.149,0.1203,Full-time,Debt Consolidation,0
33954.47,13279.94,625,0.3458,0,93.9,1.9,0.1672,0.1911,Full-time,Debt Consolidation,0
79242.07,6753.23,811,0.2765,0,97.7,2.8,0.0456,0.05,Full-time,Major Purchase,0
63632.01,17186.52,685,0.3941,1,45.9,3.0,0.1283,0.114,Self-employed,Business,1
51430.95,10840.15,652,0.1442,0,66.8,1.3,0.0708,0.0624,Full-time,Education,0
62176.05,15327.51,613,0.4523,0,65.1,8.2,0.1115,0.0997,Full-time,Home Improvement,1
